date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/15,18:11:03,22.9030225,120.2731023,19.081,-119,123,-16,-31,74,-886,-0.122135162,-0.134248734,-19.08192253,-0.00716005,0.424364567,-0.110057309,22,290
2020/6/15,18:11:06,22.9030199,120.2730634,20.14,63,40,-83,-66,-24,-969,-0.405088425,-4.126106262,-20.14077377,-0.10897743,-1.754131675,0.012706311,22,290
2020/6/15,18:11:09,22.9030132,120.2730014,20.132,25,-41,-39,-133,-69,-1024,-1.149775505,-10.48049545,-20.13282776,-0.100214712,-1.781659842,0.04714096,22,290
2020/6/15,18:11:12,22.9030073,120.2729442,20.089,-31,-9,-43,-85,9,-984,-1.805681229,-16.35073471,-20.08952332,-0.116604626,-1.807909012,-0.016811214,22,290
2020/6/15,18:11:15,22.9030007,120.2728828,20.015,32,4,0,-90,-12,-991,-2.542140007,-22.65024185,-20.01563454,-0.120911263,-1.830423236,-0.037214287,22,290
2020/6/15,18:11:18,22.9029906,120.2728275,19.976,120,-63,48,-63,-30,-983,-3.671832085,-28.32208252,-19.97639084,-0.139813662,-1.680269003,0.034411892,22,290
2020/6/15,18:11:21,22.9029848,120.2727648,19.972,135,13,13,-36,-85,-1006,-4.315979004,-34.74232483,-19.97211266,-0.105092064,-1.703406334,0.017013147,22,290
2020/6/15,18:11:24,22.9029783,120.2727032,19.921,42,-21,14,-43,-79,-953,-5.033049583,-41.06307602,-19.92157555,-0.132348791,-1.708256721,0.023419399,22,290
2020/6/15,18:11:27,22.9029717,120.2726468,20.068,30,19,-1,-200,-6,-975,-5.766729355,-46.84975052,-20.06847382,-0.154526487,-1.712353826,0.024825033,22,290
2020/6/15,18:11:30,22.9029391,120.2726228,19.924,-30,19,-126,-57,-9,-990,-9.399982452,-49.31148148,-19.92404747,-0.015750865,2.982554197,0.05047287,22,290
2020/6/15,18:11:33,22.9028889,120.2726284,19.887,-18,-15,30,-38,-121,-989,-14.99534893,-48.73397446,-19.88747406,-0.023952201,2.975302219,0.108293109,22,290
2020/6/15,18:11:36,22.9028403,120.2726341,19.971,4,24,37,-26,-56,-989,-20.40863991,-48.14907455,-19.97136879,-0.043535531,2.972956896,0.07038863,22,290
2020/6/15,18:11:39,22.9027868,120.2726396,19.983,90,42,47,42,-113,-994,-26.36874962,-47.58172989,-19.98395157,-0.025695164,2.962721825,0.042288765,22,290
2020/6/15,18:11:42,22.9027354,120.2726457,20.128,56,-12,27,25,-52,-970,-32.08601379,-46.96087265,-20.12820816,-0.016233766,3.00239563,0.047192629,22,290
2020/6/15,18:11:45,22.9026818,120.2726649,19.929,16,56,-15,4,-53,-992,-38.05335236,-44.98921585,-19.92906189,0.031472251,2.565188646,0.028757539,22,290
2020/6/15,18:11:48,22.9026346,120.2727008,19.995,20,2,91,113,-56,-958,-43.30735016,-41.30640793,-19.99577713,0.019588009,2.636305332,0.091024369,22,290
2020/6/15,18:11:51,22.9025896,120.2727316,20.198,27,-22,-7,28,-79,-982,-48.31822586,-38.14939499,-20.1986351,0.00689183,2.613327742,0.084442534,22,290
2020/6/15,18:11:54,22.9025409,120.2727638,19.965,51,39,-3,78,-50,-981,-53.73453522,-34.85388947,-19.96594429,0.030757058,2.507126808,0.043072291,22,290
2020/6/15,18:11:57,22.9024997,120.2727948,20.071,37,-74,-44,18,-47,-1008,-58.35328674,-31.64652252,-20.07134438,0.00416379,2.531552076,0.069310486,22,290
2020/6/15,18:12:00,22.9024517,120.2728269,19.975,-65,24,-48,53,6,-1006,-63.67226791,-28.37619781,-19.97550583,0.022825472,2.484079599,0.031552322,22,290
2020/6/15,18:12:03,22.9024077,120.2728602,19.912,49,53,73,40,-121,-1015,-68.5641861,-24.95994568,-19.91228294,0.009825017,2.54151845,0.047559008,22,290
2020/6/15,18:12:06,22.9023611,120.2728933,20.03,-35,-18,-62,31,-5,-996,-73.75902557,-21.56986618,-20.03026772,0.023580547,2.557638645,0.05199476,22,290
2020/6/15,18:12:09,22.9023155,120.2729255,20.087,61,8,20,-38,-75,-996,-78.83126068,-18.26521301,-20.08719254,0.015675683,2.550813913,0.051912647,22,290
2020/6/15,18:12:12,22.9022685,120.272959,20.015,36,13,25,-2,-49,-1015,-84.0604248,-14.83721542,-20.01542854,0.009547148,2.562010288,0.054778006,22,290
2020/6/15,18:12:15,22.9022327,120.2729851,20.027,-8,-59,-315,115,-96,-1021,-88.04358673,-12.16141129,-20.02731133,0.144560263,2.012142181,-0.062915444,22,290
2020/6/15,18:12:18,22.9022548,120.2730015,20.309,26,19,-22,-78,178,-942,-85.58312988,-10.47540665,-20.30960274,-0.112432897,0.212906212,-0.154978916,22,290
2020/6/15,18:12:21,22.9023155,120.2730201,20.195,70,-116,19,-13,79,-1005,-78.83214569,-8.564249039,-20.19586182,-0.058384918,0.504108727,-0.026559617,22,290
2020/6/15,18:12:24,22.9023631,120.2730444,19.89,-77,50,-160,-78,141,-981,-73.52729034,-6.077596664,-19.89014626,-0.055335041,0.485339046,-0.087471008,22,290
2020/6/15,18:12:27,22.9024116,120.273068,19.888,-7,8,11,-38,75,-933,-68.13319397,-3.65401268,-19.88837433,-0.081983715,0.434083223,-0.098340899,22,290
2020/6/15,18:12:30,22.9024593,120.2730895,19.995,-51,-71,60,-111,95,-982,-62.82200241,-1.45252037,-19.99559212,-0.091807105,0.43831709,-0.058235411,22,290
2020/6/15,18:12:33,22.9025124,120.2731144,19.989,53,40,-30,-62,13,-996,-56.91454697,1.10254097,-19.98997116,-0.072356232,0.416757524,-0.065336972,22,290
2020/6/15,18:12:36,22.9025624,120.273139,20.136,119,2,53,-35,-4,-991,-51.34489441,3.629112244,-20.13670731,-0.067278944,0.370451868,-0.075386196,22,290
2020/6/15,18:12:39,22.9026139,120.273163,20.371,-96,-39,-77,-26,170,-914,-45.6141243,6.08934021,-20.3710289,-0.061550345,0.357580781,-0.134222835,22,290
2020/6/15,18:12:42,22.9026599,120.2731824,20.698,76,-102,-78,-105,84,-1091,-40.49625397,8.075064659,-20.69857216,0.051571697,0.314395517,-0.101512797,22,290
2020/6/15,18:12:45,22.902662,120.2731818,25.937,83,-16,39,57,-11,-1020,-40.25432968,8.011726379,-25.93729782,-0.030053813,0.292537153,-0.062501252,22,290
2020/6/15,18:12:48,22.9026659,120.2731839,29.675,4,72,7,9,109,-978,-39.82068634,8.231206894,-29.67508888,-0.110499099,0.304128915,-0.143559098,22,290
2020/6/15,18:12:51,22.9027266,120.2731739,30.317,67,-59,-2,-123,120,-985,-33.06224442,7.205920219,-30.31777954,-0.125898987,0.342499405,-0.186300874,22,290
2020/6/15,18:12:54,22.9028398,120.273146,30.056,-114,-103,5,-61,216,-927,-20.4625988,4.345064163,-30.05663109,-0.151484683,0.323870659,-0.142531738,22,290
2020/6/15,18:12:57,22.9029519,120.2731214,30.143,98,-198,-34,8,138,-905,-7.97306633,1.823123932,-30.1430378,-0.039307803,0.322829187,-0.119181238,22,290
