date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020-06-19,16:15:32,22.9028198,120.2731623,0.027,4,1,-8,1,64,-995,-0.015720605850219727,-0.026334762573242188,-0.0278550386428833,-0.017374012619256973,-1.848175287246704,-0.041285086423158646,0,0
2020-06-19,16:15:35,22.9028163,120.2731638,2.983,-13,-43,-17,-11,-42,-1020,-0.4105045795440674,0.12833404541015625,-2.983647108078003,-0.02892255410552025,-1.877074956893921,0.08828582614660263,0,0
2020-06-19,16:15:38,22.9028204,120.2731619,9.8,-24,-34,-39,20,-49,-988,0.045076608657836914,-0.06418228149414062,-9.800960540771484,-0.028532352298498154,-1.894599437713623,0.03438824042677879,0,0
2020-06-19,16:15:41,22.9028188,120.2731632,16.672,2,-83,-50,-34,-62,-942,-0.13202452659606934,0.063385009765625,-16.67268180847168,-0.05589717626571655,-1.8895788192749023,0.09186206012964249,0,0
2020-06-19,16:15:44,22.902813,120.2731534,19.932,17,-48,-176,5,-117,-955,-0.7775797843933105,-0.9433746337890625,-19.932594299316406,-0.11278660595417023,-2.358441114425659,0.05627159774303436,0,0
2020-06-19,16:15:47,22.9027791,120.2731111,20.034,67,79,-10,-16,-23,-1007,-4.544092178344727,-5.276163101196289,-20.03481101989746,-0.08264835923910141,-2.5224475860595703,0.05919544771313667,0,0
2020-06-19,16:15:50,22.9027411,120.2730709,20.029,-60,-4,-36,-29,-11,-974,-8.77719497680664,-9.394412994384766,-20.029407501220703,-0.06730203330516815,-2.3407111167907715,0.04922930896282196,0,0
2020-06-19,16:15:53,22.902703,120.2730289,20.098,-26,-10,-60,-22,-49,-978,-13.015060424804688,-13.709754943847656,-20.098949432373047,-0.08695784211158752,-2.289405345916748,0.04904863238334656,0,0
2020-06-19,16:15:56,22.9026704,120.272988,19.976,-60,-109,1153,-62,1,-996,-16.650094985961914,-17.903701782226562,-19.97698211669922,-0.043642811477184296,-1.3624714612960815,0.1677245795726776,0,0
2020-06-19,16:15:59,22.9027033,120.2729615,20.021,20,43,62,-90,41,-979,-12.98287582397461,-20.615966796875,-20.02122688293457,-0.09494539350271225,-0.7469332814216614,-0.02670241892337799,0,0
2020-06-19,16:16:02,22.9027436,120.2729257,20.108,-38,-76,62,-122,97,-988,-8.493812561035156,-24.2879638671875,-20.10840606689453,-0.10750570893287659,-0.5646278262138367,-0.02087850123643875,0,0
2020-06-19,16:16:05,22.9027895,120.2728919,20.077,-163,157,-94,-51,58,-952,-3.3888936042785645,-27.756000518798828,-20.0771427154541,-0.07960622757673264,-0.6399927139282227,-0.06604044139385223,0,0
2020-06-19,16:16:08,22.9028003,120.2728354,20.219,33,-26,-82,-88,32,-1008,-2.19089412689209,-33.55024719238281,-20.2193603515625,-0.09492964297533035,-1.6236900091171265,0.004242670722305775,0,0
2020-06-19,16:16:11,22.9027981,120.272777,19.896,88,36,13,-45,5,-983,-2.432209014892578,-39.53089904785156,-19.896059036254883,-0.0999615490436554,-1.7391494512557983,-0.013690334744751453,0,0
2020-06-19,16:16:14,22.9027906,120.272719,19.882,-100,265,-101,-82,-19,-1002,-3.271732807159424,-45.47940444946289,-19.882625579833984,-0.035890258848667145,-1.6031076908111572,0.005251068156212568,0,0
2020-06-19,16:16:17,22.9027591,120.2727081,19.866,54,54,-49,0,-68,-994,-6.770656108856201,-46.59745407104492,-19.866849899291992,-0.08472204953432083,2.97743821144104,0.016370831057429314,0,0
2020-06-19,16:16:20,22.9027025,120.2727173,19.908,34,63,97,-27,-36,-999,-13.069631576538086,-45.657588958740234,-19.908363342285156,-0.007232842966914177,2.930448055267334,0.0458669438958168,0,0
