date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,13:46:33,22.9027874,120.2730905,21.077,90,5,184,0,12,-940,-1.29631424,-4.088489532,-21.07770729,-0.174754724,-1.531064153,0.031187622,24,270
2020/6/24,13:46:36,22.9027753,120.2729897,20.851,-169,-66,-67,-18,130,-867,-2.642463684,-14.41773224,-20.85163116,-0.14972572,-1.437916517,0.057444341,24,270
2020/6/24,13:46:39,22.9027766,120.2728531,20.174,-246,281,-129,-163,11,-1027,-2.500640869,-28.42704773,-20.17430496,-0.138647541,-1.615513921,-0.023421383,24,270
2020/6/24,13:46:42,22.9027256,120.2727568,19.994,10,-10,-162,-169,-88,-1034,-8.1804142,-38.30180359,-19.99493027,-0.11865285,-2.431299925,-0.007900892,24,270
2020/6/24,13:46:45,22.9026303,120.272697,19.999,-101,101,-163,-158,-132,-1028,-18.78283691,-44.43873215,-19.99937057,-0.070817627,-2.643105268,0.075337678,24,270
2020/6/24,13:46:48,22.9025468,120.2726988,20.165,180,-52,-5,-75,4,-1006,-28.07471085,-44.254879,-20.16552734,-0.106365584,2.390982151,-0.039598629,24,270
2020/6/24,13:46:51,22.9024802,120.2727889,20.177,-3,-25,-518,-20,-128,-1017,-35.49929428,-35.01717377,-20.17786217,-0.056390923,1.948583722,-0.044056818,24,270
2020/6/24,13:46:54,22.9024608,120.2729085,20.023,-53,-23,-56,-43,-17,-1047,-37.65091324,-22.7471199,-20.02316284,-0.023768682,1.532492876,0.022919988,24,270
2020/6/24,13:46:57,22.9024693,120.2730467,20.212,72,-46,75,-78,17,-1041,-36.70866394,-8.57374382,-20.21227837,-0.036339164,1.512668967,0.040537156,24,270
2020/6/24,13:47:00,22.9024735,120.2731377,20.262,50,81,-22,10,33,-949,-36.2350502,0.7507267,-20.26271057,0.152014583,1.49382472,0.017721448,24,270
2020/6/24,13:47:03,22.9024817,120.2731384,20.364,-78,-12,60,105,17,-1031,-35.30778122,0.794467926,-20.36374855,0.154287651,1.484543204,-0.059994891,24,270
2020/6/24,13:47:06,22.9025172,120.2730701,20.438,-133,-69,241,-108,10,-966,-31.3703804,-6.173284531,-20.43863678,-0.157515451,-0.996260881,0.066219151,24,270
2020/6/24,13:47:09,22.9025839,120.2729721,20.218,319,-300,320,-44,-196,-1157,-23.95411682,-16.23168182,-20.2183876,0.128578693,-0.835643828,0.032940093,24,270
2020/6/24,13:47:12,22.9026364,120.2729735,19.793,-147,166,-119,-24,52,-974,-18.10810852,-16.08394241,-19.79343414,-0.108937614,0.761906028,-0.025508406,24,270
2020/6/24,13:47:15,22.9027003,120.2730317,20.225,51,-97,-131,-10,100,-1014,-10.98736572,-10.11978722,-20.22599411,-0.106966257,0.679562986,-0.07631883,24,270
2020/6/24,13:47:18,22.902787,120.2731015,20.062,63,100,145,19,103,-1039,-1.877952576,-3.323060989,-20.087183,0.147752777,0.672789514,-0.033445977,24,270
