date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/15,17:54:12,22.9030479,120.2731223,-0.038,2,-1,0,5,-14,-999,0.085421562,-0.042915344,0.038820267,-0.011557345,-1.222417831,0.028613389,22,290
2020/6/15,17:54:15,22.9030467,120.2731226,-0.122,13,0,6,16,-12,-996,-0.045913696,-0.020023346,0.122703254,-0.010948595,-1.222898483,0.028150044,22,290
2020/6/15,17:54:18,22.9030239,120.2731182,1.042,41,22,-1207,14,-53,-1057,-2.590992928,-0.4688797,-1.042948246,-0.061422467,-1.961081386,-0.068839625,22,290
2020/6/15,17:54:21,22.9029313,120.273099,6.829,-89,-38,76,-48,42,-996,-12.89512444,-2.432842255,-6.829510689,-0.11795333,-3.041712999,0.037260406,22,290
2020/6/15,17:54:24,22.9028287,120.2730835,12.329,45,58,20,0,-59,-1013,-24.3318615,-4.026287079,-12.32944775,-0.061805431,-2.999467611,0.064352296,22,290
2020/6/15,17:54:27,22.9027203,120.2730637,18.045,41,14,-25,-114,-45,-1024,-36.39330673,-6.059812546,-18.04531479,-0.090774499,-2.972919464,0.064644046,22,290
2020/6/15,17:54:30,22.9026529,120.2730495,20.164,41,103,-150,9,-109,-1037,-43.89584732,-7.514291763,-20.16480637,0.05966901,-2.690390825,0.17572546,22,290
2020/6/15,17:54:33,22.9026778,120.2730034,20.288,5,-95,-72,-178,36,-1011,-41.12200928,-12.23425484,-20.28831482,-0.244552851,-1.171448469,-0.02819002,22,290
2020/6/15,17:54:36,22.9027261,120.2729012,20.17,53,-19,74,-161,7,-996,-35.74501419,-22.71329689,-20.17093277,-0.166964561,-1.090283394,-0.019042794,22,290
2020/6/15,17:54:39,22.9027868,120.2727755,20.008,62,52,-18,-166,-5,-1011,-28.9967308,-35.60723114,-20.0085907,-0.14377223,-1.034994841,-0.029578067,22,290
2020/6/15,17:54:42,22.9028452,120.2726601,20.055,-56,292,-63,-75,131,-983,-22.49362183,-47.44551086,-20.05517578,-0.063742444,-1.007010579,-0.000526947,22,290
2020/6/15,17:54:45,22.9028928,120.2725927,19.702,-33,-29,-150,-4,-18,-1043,-17.19783401,-54.35738373,-19.70235825,-0.014701864,-0.306301892,0.118301697,22,290
2020/6/15,17:54:48,22.9029394,120.2726375,19.885,-44,62,39,-88,93,-969,-11.99738503,-49.76041412,-19.88555527,-0.135595351,0.670834124,-0.033062398,22,290
2020/6/15,17:54:51,22.9030179,120.2727169,20.182,13,-14,45,-83,24,-1053,-3.253350258,-41.61469269,-20.18254089,-0.104026712,0.698676586,-0.052006882,22,290
2020/6/15,17:54:54,22.9031062,120.2728044,20.375,-4,26,30,-35,64,-1093,6.578827858,-32.639534,-20.37598801,0.033768244,0.743557811,-0.074598923,22,290
2020/6/15,17:54:57,22.9031495,120.2728396,25.727,-62,-51,0,33,105,-1023,11.39549541,-29.03221703,-25.72771835,0.074395768,0.671285927,-0.037297584,22,290
2020/6/15,17:55:00,22.9031442,120.2728505,29.742,-31,9,37,-22,73,-953,10.79904079,-27.9168911,-29.74253082,-0.016602775,0.705593765,0.025758956,22,290
2020/6/15,17:55:03,22.9031172,120.2729129,30.053,62,-17,20,31,-84,-999,7.800322533,-21.5222683,-30.05379486,-0.050231896,0.724121153,0.027508453,22,290
2020/6/15,17:55:06,22.9030768,120.2730308,30.056,19,29,-34,4,-41,-1012,3.304080009,-9.429367065,-30.05660248,-0.017093901,0.698758602,0.013589321,22,290
2020/6/15,17:55:09,22.9030514,120.2731157,30.11,17,-6,15,10,-67,-1034,0.472920418,-0.723060608,-30.11023331,0.074309319,0.692034245,-0.146630019,22,290
2020/6/15,17:55:12,22.9030475,120.273123,30.299,11,17,41,58,63,-943,0.041334152,0.025352478,-30.2995224,0.015569568,0.67285043,-0.08941935,22,290
