date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020-06-16,11:19:36,22.9028371,120.273165,0.06,4,-1,0,3,18,-1005,0.0133056640625,-0.22168350219726562,-0.0600963830947876,-0.017135340720415115,-1.8843835592269897,-0.00026858504861593246,0,0
2020-06-16,11:19:39,22.9028344,120.2731622,0.002,4,-1,0,3,17,-1005,-0.28267383575439453,-0.5026512145996094,-0.0023173093795776367,-0.016848940402269363,-1.8855804204940796,-0.0010680286213755608,0,0
2020-06-16,11:19:42,22.9028343,120.2731637,-0.313,-3,-5,-1,11,9,-1005,-0.2962312698364258,-0.35357666015625,0.3135717511177063,-0.012220297940075397,-1.886732816696167,-0.0002828827127814293,0,0
