date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,14:30:46,22.9028031,120.2731441,20.044,32,20,-7,-69,1,-939,-0.841010094,0.152002335,-20.04437256,-0.105867289,-1.791962862,-0.034899607,24,270
2020/6/24,14:30:49,22.9027566,120.2731212,20.309,-36,88,-50,-49,21,-999,-6.011340141,-2.198793411,-20.30968285,-0.125163332,-2.619879723,0.049557053,24,270
2020/6/24,14:30:52,22.902661,120.2730688,20.145,-62,139,-204,-14,-9,-999,-16.65775299,-7.576044083,-20.14582825,-0.029311966,-2.695450306,0.001248936,24,270
2020/6/24,14:30:55,22.9025651,120.2730845,19.887,83,-45,-71,3,-46,-1002,-27.33764648,-5.959812164,-19.88766098,0.014617671,2.643635035,0.103016257,24,270
2020/6/24,14:30:58,22.9024817,120.2731376,20.036,27,67,22,10,-102,-1006,-36.61322021,-0.518819809,-20.03693771,0.092196941,2.583580732,0.086416684,24,270
2020/6/24,14:31:01,22.9024435,120.2731569,20.162,135,254,7,94,-137,-897,-40.86787415,1.457448959,-20.16263962,0.168034524,2.769829273,0.203030139,24,270
2020/6/24,14:31:04,22.9024567,120.2730974,20.132,-54,-144,-103,-245,80,-907,-39.40521622,-4.637825012,-20.13208961,-0.282287449,-1.651413798,-0.08950337,24,270
2020/6/24,14:31:07,22.9024471,120.272985,20.467,-9,207,44,-200,31,-980,-40.47055817,-16.16564941,-20.46743202,-0.281683177,-1.516428828,0.00741361,24,270
2020/6/24,14:31:10,22.9024584,120.2728864,20.105,16,26,721,-127,199,-1099,-39.2107048,-26.27471924,-20.10555458,-0.101878032,-0.698546708,0.004238653,24,270
2020/6/24,14:31:13,22.9025344,120.2728773,20.357,59,9,4,14,157,-1089,-30.75052643,-27.21305084,-20.35711098,-0.094506063,-0.021030135,-0.15569666,24,270
2020/6/24,14:31:16,22.9026325,120.2728767,20.246,122,138,-36,-50,191,-962,-19.74091339,-27.26637268,-20.24427032,-0.091498278,0.073865913,-0.116639562,24,270
2020/6/24,14:31:19,22.902745,120.2728839,20.16,267,7,371,-69,2,-1056,-7.306427956,-26.52800751,-20.16058159,-0.029795507,0.422000229,0.067321457,24,270
2020/6/24,14:31:22,22.9027888,120.2729649,20.002,-71,-141,53,-10,44,-969,-2.432833672,-18.22617722,-20.00281143,0.015139331,1.425999999,0.041179627,24,270
2020/6/24,14:31:25,22.9027985,120.2730721,19.939,17,33,72,53,-34,-948,-1.354814529,-7.230886459,-19.93998146,0.071155541,1.427768588,0.023170482,24,270
2020/6/24,14:31:28,22.9028027,120.2731151,19.063,-168,180,23,4,11,-887,-0.887353897,-2.826044083,-19.06359673,0.063515723,1.383576035,0.011559581,24,270
